Final Result 1,,,Regular Learning Rate Setting,,,,,,High Learning Rate Setting,,,,
Model,Learning Rate Type,,,,Layer Type,,,,,,Layer Type,,
Baseline VGG16,Regular,,,,Feature Extraction,Prototype Vector,Add-on,,,,Feature Extraction,Prototype Vector,Add-on
Baseline ResNet34,High,,Stage,Warmup,NA,3.00E-03,3.00E-03,,Stage,Warmup,NA,3.00E-02,3.00E-02
PBN-VGG16-1p,Regular,,,Joint,1.00E-04,3.00E-03,3.00E-03,,,Joint,1.00E-03,3.00E-02,3.00E-02
PBN-VGG16-2p,Regular,,,Last,1.00E-04,,,,,Last,1.00E-04,,
PBN-VGG16-5p,Regular,,,,,,,,,,,,
PBN-VGG16-10p,Regular,,,,,,,,,,,,
PBN-ResNet34-1p,Extreme Low 2,,Low Learning Rate Setting,,,,,,Baseline Models Learning Rate Setting,,,,
PBN-ResNet34-2p,Regular,,,,Layer Type,,,,High,1.00E-03,,,
PBN-ResNet34-5p,Regular,,,,Feature Extraction,Prototype Vector,Add-on,,Regular,1.00E-04,,,
PBN-ResNet34-10p,Regular,,Stage,Warmup,NA,1.00E-03,1.00E-03,,Low,1.00E-05,,,
mPBN-1p-blip,Low,,,Joint,5.00E-05,1.00E-03,1.00E-03,,,,,,
mPBN-2p-blip,Regular,,,Last,1.00E-04,,,,,,,,
mPBN-5p-blip,Low,,,,,,,,,,,,
mPBN-10p-blip,Low,,,,,,,,,,,,
mPBN-1p-blip2,Regular,,Very Low Learning Rate Setting,,,,,,,,,,
mPBN-2p-blip2,Low,,,,Layer Type,,,,,,,,
mPBN-5p-blip2,Regular,,,,Feature Extraction,Prototype Vector,Add-on,,,,,,
mPBN-10p-blip2,Regular,,Stage,Warmup,NA,1.00E-03,1.00E-03,,,,,,
,,,,Joint,1.00E-05,5.00E-04,5.00E-04,,,,,,
,,,,Last,1.00E-04,,,,,,,,
,,,,,,,,,,,,,
,,,Extreme Low Learning Rate Setting1 (for PBN-ResNet-1p only),,,,,,,,,,
,,,,,Layer Type,,,,,,,,
,,,,,Feature Extraction,Prototype Vector,Add-on,,,,,,
,,,Stage,Warmup,NA,1.00E-03,1.00E-03,,,,,,
,,,,Joint,1.00E-06,1.00E-05,1.00E-05,,,,,,
,,,,Last,1.00E-04,,,,,,,,
,,,,,,,,,,,,,
,,,Extreme Low Learning Rate Setting2 (for PBN-ResNet-1p only),,,,,,,,,,
,,,,,Layer Type,,,,,,,,
,,,,,Feature Extraction,Prototype Vector,Add-on,,,,,,
,,,Stage,Warmup,NA,1.00E-04,1.00E-04,,,,,,
,,,,Joint,1.00E-07,1.00E-06,1.00E-06,,,,,,
,,,,Last,1.00E-04,,,,,,,,
