Supercategory Name,Category Name,Category ID,Number of Training Images,Number of Validation Images,Train Validation Ratio
person,person,1,64115,2693,0.040309543767213504
vehicle,bicycle,2,3252,149,0.0438106439282564
vehicle,car,3,12251,535,0.04184264038792429
vehicle,motorcycle,4,3502,159,0.04343075662387326
vehicle,airplane,5,2986,97,0.031462860849821604
vehicle,bus,6,3952,189,0.04564114948080174
vehicle,train,7,3588,157,0.041922563417890524
vehicle,truck,8,6127,250,0.03920338717265172
vehicle,boat,9,3025,121,0.038461538461538464
outdoor,traffic light,10,4139,191,0.044110854503464206
outdoor,fire hydrant,11,1711,86,0.047857540345019475
outdoor,stop sign,13,1734,69,0.03826955074875208
outdoor,parking meter,14,705,37,0.04986522911051213
outdoor,bench,15,5570,235,0.040482342807924204
animal,bird,16,3237,125,0.037180249851279
animal,cat,17,4114,184,0.042810609585853886
animal,dog,18,4385,177,0.0387987724682157
animal,horse,19,2941,128,0.041707396546106223
animal,sheep,20,1529,65,0.04077791718946048
animal,cow,21,1968,87,0.042335766423357665
animal,elephant,22,2143,89,0.039874551971326166
animal,bear,23,960,49,0.048562933597621406
animal,zebra,24,1916,85,0.04247876061969016
animal,giraffe,25,2546,101,0.03815640347563279
accessory,backpack,27,5528,228,0.03961084086170952
accessory,umbrella,28,3968,174,0.042008691453404155
accessory,handbag,31,6841,292,0.040936492359456046
accessory,tie,32,3810,145,0.03666245259165613
accessory,suitcase,33,2402,105,0.04188272836059035
sports,frisbee,34,2184,84,0.037037037037037035
sports,skis,35,3082,120,0.037476577139287946
sports,snowboard,36,1654,49,0.028772753963593658
sports,sports ball,37,4262,169,0.038140374633265625
sports,kite,38,2261,91,0.03869047619047619
sports,baseball bat,39,2506,97,0.03726469458317326
sports,baseball glove,40,2629,100,0.03664345914254306
sports,skateboard,41,3476,127,0.035248404107688036
sports,surfboard,42,3486,149,0.040990371389270974
sports,tennis racket,43,3394,167,0.046896939062061216
kitchen,bottle,44,8501,379,0.04268018018018018
kitchen,wine glass,46,2533,110,0.04161937192584184
kitchen,cup,47,9189,390,0.04071406201064829
kitchen,fork,48,3555,155,0.04177897574123989
kitchen,knife,49,4326,181,0.04015975149767029
kitchen,spoon,50,3529,153,0.041553503530689845
kitchen,bowl,51,7111,314,0.04228956228956229
food,banana,52,2243,103,0.04390451832907076
food,apple,53,1586,76,0.0457280385078219
food,sandwich,54,2365,98,0.03978887535525782
food,orange,55,1699,85,0.0476457399103139
food,broccoli,56,1939,71,0.035323383084577116
food,carrot,57,24,3,0.1111111111111111
food,hot dog,58,11,0,0.0
food,pizza,59,3166,153,0.04609822235613136
food,donut,60,1523,62,0.039116719242902206
food,cake,61,2925,124,0.04066907182682847
furniture,chair,62,12774,580,0.04343267934701213
furniture,couch,63,4423,195,0.0422260718925942
furniture,potted plant,64,4452,172,0.037197231833910036
furniture,bed,65,3682,149,0.038893239363090575
furniture,dining table,67,11837,501,0.040606257091911166
furniture,toilet,70,3353,149,0.04254711593375214
electronic,tv,72,4561,207,0.043414429530201346
electronic,laptop,73,3524,183,0.04936606420285945
electronic,mouse,74,1876,88,0.04480651731160896
electronic,remote,75,3076,145,0.04501707544240919
electronic,keyboard,76,2115,106,0.047726249437190456
electronic,cell phone,77,4803,214,0.04265497309148894
appliance,microwave,78,1547,54,0.033728919425359154
appliance,oven,79,2877,115,0.03843582887700535
appliance,toaster,80,217,8,0.035555555555555556
appliance,sink,81,4678,187,0.03843782117163412
appliance,refrigerator,82,2360,101,0.041040227549776515
indoor,book,84,5332,230,0.04135203164329378
indoor,clock,85,4659,204,0.041949413942011106
indoor,vase,86,3593,137,0.03672922252010724
indoor,scissors,87,947,28,0.028717948717948718
indoor,teddy bear,88,16,0,0.0
indoor,hair drier,89,189,9,0.045454545454545456
indoor,toothbrush,90,1007,34,0.03266090297790586
