Supercategory Name,Category Name,Number of Training Images,Number of Validation Images
furniture,toilet,908,42
outdoor,fire hydrant,475,16
indoor,teddy bear,234,15
furniture,bed,291,10
vehicle,bus,163,9
animal,dog,303,11
food,cake,109,5
appliance,sink,196,9
animal,zebra,420,15
indoor,scissors,162,6
indoor,clock,919,45
animal,cat,387,22
vehicle,truck,245,7
vehicle,motorcycle,192,7
food,broccoli,118,6
animal,horse,269,15
appliance,refrigerator,110,4
animal,bear,557,24
appliance,oven,111,2
animal,cow,211,10
vehicle,boat,159,8
vehicle,airplane,1117,41
vehicle,train,1055,41
food,pizza,299,16
outdoor,stop sign,521,22
animal,giraffe,742,26
outdoor,bench,368,12
outdoor,traffic light,203,11
food,banana,116,7
indoor,vase,365,18
