,precision,recall,f1-score,support
apple_pie,0.0,0.0,0.0,0.0
baby_back_ribs,0.0,0.0,0.0,0.0
baklava,0.0,0.0,0.0,0.0
beef_carpaccio,0.0,0.0,0.0,0.0
beef_tartare,0.0,0.0,0.0,0.0
beet_salad,0.0,0.0,0.0,0.0
beignets,0.0,0.0,0.0,0.0
bibimbap,0.0,0.0,0.0,0.0
bread_pudding,0.0,0.0,0.0,0.0
breakfast_burrito,0.0,0.0,0.0,0.0
bruschetta,0.0,0.0,0.0,0.0
caesar_salad,0.0,0.0,0.0,0.0
cannoli,0.0,0.0,0.0,0.0
caprese_salad,0.0,0.0,0.0,0.0
carrot_cake,0.0,0.0,0.0,0.0
ceviche,0.0,0.0,0.0,0.0
cheesecake,0.0,0.0,0.0,0.0
cheese_plate,0.0,0.0,0.0,0.0
chicken_curry,0.0,0.0,0.0,0.0
chicken_quesadilla,0.0,0.0,0.0,0.0
chicken_wings,0.0,0.0,0.0,0.0
chocolate_cake,0.0,0.0,0.0,0.0
chocolate_mousse,0.0,0.0,0.0,0.0
churros,0.0,0.0,0.0,0.0
clam_chowder,0.0,0.0,0.0,0.0
club_sandwich,0.0,0.0,0.0,0.0
crab_cakes,0.0,0.0,0.0,0.0
creme_brulee,0.0,0.0,0.0,0.0
croque_madame,0.0,0.0,0.0,0.0
cup_cakes,0.0,0.0,0.0,0.0
deviled_eggs,0.0,0.0,0.0,0.0
donuts,0.0,0.0,0.0,0.0
dumplings,0.0,0.0,0.0,0.0
edamame,0.0,0.0,0.0,0.0
eggs_benedict,0.0,0.0,0.0,0.0
escargots,0.0,0.0,0.0,0.0
falafel,0.0,0.0,0.0,0.0
filet_mignon,0.0,0.0,0.0,0.0
fish_and_chips,0.0,0.0,0.0,0.0
foie_gras,0.0,0.0,0.0,0.0
french_fries,0.0,0.0,0.0,0.0
french_onion_soup,0.0,0.0,0.0,0.0
french_toast,0.0,0.0,0.0,0.0
fried_calamari,0.0,0.0,0.0,0.0
fried_rice,0.0,0.0,0.0,0.0
frozen_yogurt,0.0,0.0,0.0,0.0
garlic_bread,0.0,0.0,0.0,0.0
gnocchi,0.0,0.0,0.0,0.0
greek_salad,0.0,0.0,0.0,0.0
grilled_cheese_sandwich,0.0,0.0,0.0,0.0
grilled_salmon,0.0,0.0,0.0,0.0
guacamole,0.0,0.0,0.0,0.0
gyoza,0.0,0.0,0.0,0.0
hamburger,0.0,0.0,0.0,0.0
hot_and_sour_soup,0.0,0.0,0.0,0.0
hot_dog,0.0,0.0,0.0,0.0
huevos_rancheros,0.0,0.0,0.0,0.0
hummus,0.0,0.0,0.0,0.0
ice_cream,0.0,0.0,0.0,0.0
lasagna,0.0,0.0,0.0,0.0
lobster_bisque,0.0,0.0,0.0,0.0
lobster_roll_sandwich,0.0,0.0,0.0,0.0
macaroni_and_cheese,0.0,0.0,0.0,0.0
macarons,0.0,0.0,0.0,0.0
miso_soup,0.0,0.0,0.0,0.0
mussels,0.0,0.0,0.0,0.0
nachos,0.0,0.0,0.0,0.0
omelette,0.0,0.0,0.0,0.0
onion_rings,0.0,0.0,0.0,0.0
oysters,0.0,0.0,0.0,0.0
pad_thai,0.0,0.0,0.0,0.0
paella,0.0,0.0,0.0,0.0
pancakes,0.0,0.0,0.0,0.0
panna_cotta,0.0,0.0,0.0,0.0
peking_duck,0.0,0.0,0.0,0.0
pho,0.0,0.0,0.0,0.0
pizza,0.0,0.0,0.0,0.0
pork_chop,0.0,0.0,0.0,0.0
poutine,0.0,0.0,0.0,0.0
prime_rib,0.0,0.0,0.0,0.0
pulled_pork_sandwich,0.0,0.0,0.0,0.0
ramen,0.0,0.0,0.0,0.0
ravioli,0.0,0.0,0.0,0.0
red_velvet_cake,0.0,0.0,0.0,0.0
risotto,0.0,0.0,0.0,0.0
samosa,0.0,0.0,0.0,0.0
sashimi,0.0,0.0,0.0,0.0
scallops,0.0,0.0,0.0,0.0
seaweed_salad,0.0,0.0,0.0,0.0
shrimp_and_grits,0.0,0.0,0.0,0.0
spaghetti_bolognese,0.0,0.0,0.0,0.0
spaghetti_carbonara,0.0,0.0,0.0,0.0
spring_rolls,0.0,0.0,0.0,0.0
steak,0.0,0.0,0.0,0.0
strawberry_shortcake,0.0,0.0,0.0,0.0
sushi,0.0,0.0,0.0,0.0
tacos,0.0,0.0,0.0,0.0
takoyaki,0.0,0.0,0.0,0.0
tiramisu,0.0,0.0,0.0,0.0
tuna_tartare,0.0,0.0,0.0,0.0
waffles,0.0,0.0,0.0,0.0
micro avg,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,0.0
weighted avg,0.0,0.0,0.0,0.0
